Unit Name;Medicine;Social Sciences;Agricultural and Biological Sciences;Engineering;Environmental Science;Computer Science;Biochemistry, Genetics and Molecular Biology;Psychology;Arts and Humanities;Health Professions;Materials Science;Business, Management and Accounting;Economics, Econometrics and Finance;Physics and Astronomy;Earth and Planetary Sciences;Neuroscience;Chemistry;Immunology and Microbiology;Energy;Mathematics;Nursing;Decision Sciences;Dentistry;Pharmacology, Toxicology and Pharmaceutics;Chemical Engineering;Veterinary
1980_CU;0.0022048899100528554;0.0005926755183852884;0.0031988792247971513;0.000219646369345354;0.0009707391485230897;0.00039218762255863204;0.0007712011457845595;0.0005931857783709636;0.00043225719302985275;0.002318190315946906;6.842051246963839e-05;0.0009929782254060571;0.0004381640924526235;0.00037750094375235937;0.0007121239095602635;0.0003022365504735039;0.0005500874246085538;0.001707146737021805;0.0009917355371900827;0.00036925349252261676;0.003095176683002321;0.0002577984016499098;0.001579778830963665;0.002206287920573635;0.0;0.004800768122899664
1981_CU;0.002790223217857429;0.0015393655496610914;0.006353031381784326;0.0007660624861092065;0.0009736624312350907;0.0026959224173437675;0.0015501909553404078;0.0013646484234719528;0.0008089633135137321;0.00493791300559146;0.0008465195025070001;0.002897950734837508;0.0014110840653331921;0.00034769842956209316;0.00033772374197906115;0.00018757327080890974;0.000691031941031941;0.0024373524259273366;0.002379535990481856;0.0014563106796116505;0.0015651493413329856;0.0009776365636074789;0.0037002775208140612;0.0005277044854881266;0.0003428767358134751;0.003732338043188483
1982_CU;0.002754901960784314;0.0014157162196837645;0.0056231760267634705;0.0006331518298087882;0.0018699407031961223;0.0009199632014719411;0.0012534230711590075;0.0010817437709587856;0.0011174871639987919;0.0030317248348792725;0.0009886959100945851;0.0026879818914904152;0.001444616995918957;0.0005217845030002609;0.00024790315250175596;0.00036842590034079397;0.0007737392885467242;0.0018865186475112464;0.00224791265253693;0.0008220786846741045;0.002861230329041488;0.0009454029780193808;0.0018219084491004327;0.0017937219730941704;0.001002004008016032;0.0005317734645041213
1983_CU;0.001871064132817627;0.0016300195262755751;0.006631299734748011;0.0009792282295033666;0.001502417953894549;0.0022153445186512463;0.0010501231875277676;0.0010516721587323845;0.0009216457136273959;0.004256195510400219;0.0006282196255811032;0.0038829924928811804;0.0009383692482992057;0.0001863064741499767;0.0010547239462902114;0.0002682763246143528;0.0008928405349602872;0.001398014818957081;0.0058167716917111;0.0011303905499350025;0.0017167381974248926;0.0004574565416285453;0.0025651988029072254;0.0002577984016499098;0.001343408900083963;0.0010770059235325794
1984_CU;0.0012052441512179662;0.0014807823738080515;0.005943536404160475;0.0007719472591435822;0.0012177795818956768;0.001937560548767149;0.0011619500103284446;0.0007501363884342608;0.0011918620766117856;0.0018611704694285517;0.0009100285142267791;0.0025793772646318246;0.0009636696540425942;0.00018018018018018018;0.0013567498304062713;0.0;0.0010737956826008073;0.0009469056476158268;0.0020808045777700713;0.001335930976899527;0.000731528895391368;0.0;0.0016116035455278;0.0;0.0013324450366422385;0.0
1985_CU;0.0009191567587809258;0.0010257624176431136;0.006294307545057833;0.0007447387138613447;0.0013996107332648108;0.0021082220660576245;0.001225595332932972;0.0008580291729918817;0.001163482872449808;0.0017947354427014092;0.0007299065158193201;0.00251342396892494;0.001176616299232103;0.00020441885423232202;0.0008005531094210545;0.0001610630159049728;0.0008056689799132075;0.0014807502467917078;0.0024986614313760487;0.0011917014246248848;0.0018881283927307056;0.0008576329331046312;0.0011372251705837756;0.000484613520717228;0.0006427767957576731;0.0025926886180969665
1986_CU;0.0023303542956197515;0.0017118699574265384;0.007681113761495417;0.0007653488316471742;0.0012908867559182993;0.0017509527242764444;0.0013564237187057846;0.001976101522215704;0.0009574320664155507;0.004264919491918286;0.0006537371976465461;0.004099653106275623;0.0009724009724009724;0.00035413044877985965;0.000991290802237485;0.00030917874396135266;0.0005122201082979657;0.001802715339980846;0.004379316152939195;0.001038691249026227;0.0010617965597791463;0.000962000962000962;0.0006771626883358727;0.0006925207756232687;0.0002898130705694827;0.002257336343115124
1987_CU;0.0024043782583141873;0.0016531182842069703;0.005534808290309622;0.0008754934166701559;0.0017524644030668128;0.0014423076923076924;0.0012596158171757615;0.002228781398710921;0.0007821379251347354;0.004057971014492754;0.0008266170696424882;0.002857142857142857;0.0008677730773402755;0.00038752179810114316;0.0012316534948167916;0.0005143277002204262;0.00091713993438922;0.0023481694951435587;0.003399626041135475;0.0007982040409079571;0.0020228582987761707;0.0007544322897019992;0.0017522340984755564;0.0006868918145392101;0.0011366865586814436;0.0036613272311212816
1988_CU;0.0013954120321238539;0.0013343863184553798;0.0051449151089007035;0.0007727122198918203;0.0014591631502149309;0.0016686585338354341;0.000924761013796144;0.0011429224527115835;0.0006335574249410439;0.002236770321876705;0.0008498300339932014;0.0031127670612649152;0.0009494171633524975;0.0005690628956765446;0.0005298364130074839;0.00035623953546364576;0.0006751474664202971;0.0011239973432790068;0.00463788797716732;0.0009586349038968509;0.001213101496158512;0.0007162041181736795;0.004014720642355303;0.00022933149868134388;0.0005785363031530228;0.0014545454545454545
1989_CU;0.0008838786841431463;0.0013293747507422341;0.005573347751944433;0.0007272510900502134;0.0013071407230355542;0.0012712941774726673;0.001027326895418122;0.0011493623775381753;0.0011180429775720579;0.0013770092418504886;0.0008145468484224144;0.0013125082031762699;0.0008522798485949916;0.0007366783989522796;0.0008482317630170951;0.0004786161156883525;0.0012695054218460724;0.0016319477776711145;0.005546888542208355;0.00156128024980484;0.0011858879335902757;0.00034381983840467596;0.0;0.00044414834554741284;0.0014336917562724014;0.0027522935779816515
1990_CU;0.002015119775275883;0.0006503281748660204;0.0024761782481497446;0.0002597073345679738;0.0012140103354933967;0.0006932676012940995;0.001092528018791482;0.0005190491020450534;0.00042840771562295836;0.0025489396411092985;0.0009093802573546129;0.0009535918626827717;0.0006203473945409429;0.0006727385634444214;0.000425376762275158;0.0005029232413402905;0.0008110848259547145;0.001974599470448324;0.0037709976002742542;0.0005245443021375181;0.0017570060616709127;0.001002004008016032;0.002079002079002079;0.0008219459570533238;0.0008447135013374631;0.0019409937888198758
1991_CU;0.0010116676772177128;0.0005055433415239193;0.0018012290739563466;0.0004759554364687632;0.0008562376915831834;0.0010218418699706221;0.0009150613377052931;0.00046668395125745396;0.00023335737621451907;0.0014828071072478589;0.0006254821424848321;0.002165087956698241;0.0007469654528478057;0.0005703587060296835;0.0006578553914239579;0.0007823450793754278;0.00048181990260354825;0.002017700738295043;0.004740138818351109;0.0009581046947130041;0.000777302759424796;0.0004943968358602505;0.0006291286568103177;0.0006772773450728074;0.0002926115581565472;0.0025195263290501385
1992_CU;0.001049375013996999;0.00048477636935552286;0.0021946402009315026;0.00047827683688197667;0.0010590670582005489;0.0011123095591209385;0.000992601442948394;0.000249719066050693;0.00033746228362712403;0.0010656923194032122;0.000570218312153796;0.0010740754000930866;0.0002643695886849816;0.0005574541312198551;0.0003540449637103912;0.0003638458506412783;0.000637551801083838;0.0017242161622578157;0.001938297528670651;0.0009132420091324201;0.0015706292333366055;0.0007774236181295188;0.00032797638570022957;0.0006805807622504537;0.0020281037230189774;0.002410219329959026
1993_CU;0.001371391013912983;0.0009819163734555273;0.0033940859215175747;0.0005516182152987526;0.0007771052828214899;0.0011061946902654867;0.0011072516050683549;0.0010516503740529172;0.000601006686199384;0.002122791706960398;0.0009979117772069559;0.0015273976961751416;0.00045274942377346067;0.0006042025645042182;0.0008114029156411435;0.0004885496183206107;0.0004926593753079121;0.0027491408934707906;0.004358564579398518;0.0004850640688790978;0.0018480872297172426;0.00029362108199368716;0.0019515368352577655;0.00044938770924615214;0.0005383580080753701;0.002964845404489623
1994_CU;0.0011039225444509795;0.0006351833851424832;0.003750388353823621;0.00047241588510845675;0.0009095818765811091;0.0010967512449608727;0.001484630698113844;0.0007361906733844066;0.00047245747882690555;0.0011715669708234765;0.00047408055722699343;0.001187542677314966;0.000631163708086785;0.0005071497083889177;0.0011265792226603363;0.0005817335660267597;0.00045379404233250137;0.003025591461108543;0.0039948637466115;0.0009422850412249705;0.00181801654395055;0.00028314574927443904;0.0006253908692933083;0.0010945709281961471;0.0017784552845528454;0.003499562554680665
1995_CU;0.0012284035415312817;0.0006469307237423576;0.0031566885040323453;0.00021905958187584914;0.0007480492680724834;0.0006338504977166976;0.0012828840532640468;0.0007995380446852929;0.0004937430833404274;0.001448997421636941;0.0007680223424681445;0.0005565139963270077;0.00025912969441205323;0.0007627765064836003;0.0009463224856737291;0.0007742720460138816;0.0006364663388865021;0.0022391938901995282;0.0012627857052658164;0.0005235602094240838;0.0032590983161325366;0.0001348799568384138;0.0015451174289245982;0.0012457178449081284;0.0004837344297980409;0.0012782275244993609
1996_CU;0.0013671988315747256;0.00043331973898858077;0.003680857518454849;0.000162997856578186;0.0008118081180811808;0.0006163882218483942;0.0012699740775879457;0.0006518506447210283;0.00031958837017920916;0.0018937834499794155;0.0010485177771423124;0.00035842293906810036;0.00021147237642083004;0.000850607070164957;0.0012234810482785621;0.0010410986069109118;0.00112480809861831;0.003128841211308526;0.0006944444444444445;0.0009244773147489689;0.0023642658110276113;0.000246290253063235;0.0016357688113413304;0.0005684509711037423;0.001379310344827586;0.0023090244371752936
1997_CU;0.0014775790122639057;0.0008015742919093099;0.003928159232186608;0.0001514302587943123;0.0009582789310398524;0.0004264820250370036;0.0014917691636396183;0.0009462789551503203;0.0005756049532320976;0.001866034288380049;0.0010502417100406196;0.0005660777885227728;0.00030658127810328383;0.0009623126927080265;0.001012755901714451;0.0008234838209649292;0.001025965992244904;0.0025711530907402778;0.0013930810308799629;0.00048073621317217224;0.0009696969696969697;0.0003616636528028933;0.0;0.0008016835354243912;0.0015783540022547915;0.0011325028312570782
1998_CU;0.0019068109625470931;0.0008028211284513805;0.004284769507344654;0.0002941957334443145;0.0008491714991228953;0.0006997900629811056;0.0019637535351020945;0.0009149298248824315;0.0004887445016243567;0.002381955768913645;0.000999118424919189;0.0010822745081062362;0.0005139406398560967;0.0007184723010020798;0.0013788665716780806;0.0015086748805632386;0.001437730146853865;0.0037250253979004403;0.0016176321908805986;0.0008626982546950694;0.002706156506051267;0.00045420995855334126;0.003822721299725242;0.0019695613249776185;0.0008707009142359599;0.001332001332001332
1999_CU;0.0024802005350490863;0.0009869629888879167;0.00392723500426068;0.00035437547065492197;0.0014016309887869521;0.0008575961579692123;0.0017718224855347304;0.0010272577531393351;0.0006621934821241546;0.00335461530137431;0.0015366133042773727;0.0011352292967450235;0.00043055726411612744;0.001214453869436867;0.0008765202147474527;0.0014404535105246039;0.0014473246204391183;0.0028628286143211256;0.0025019245573518092;0.0011773818745158791;0.002734523357387011;0.001159787020928884;0.0011887779362815027;0.0027816411682892906;0.0009979044007584073;0.0020107238605898124
2000_CU;0.002006940179098872;0.0007703783413632028;0.003926218708827404;0.0002805888357138051;0.0009446272324823683;0.0005378464627630965;0.0020744797501140964;0.0008957805646506456;0.0003263629251717005;0.0028760959317159157;0.001471617948991823;0.0007775797829256439;0.000663443014072647;0.001157366815136955;0.0007953259306842862;0.0009865175928970734;0.001792683094998414;0.004473867174511048;0.0031150094270022133;0.0007268457689189567;0.0015159171298635675;0.00037136756104354284;0.001799640071985603;0.0018682858477347033;0.000885582713425434;0.002562277580071174
2001_CU;0.002284813866456569;0.0007125267910073419;0.0036835250872718026;0.000387563176752537;0.001201118756327322;0.000764184152121424;0.0018973038949111167;0.0006873160308993381;0.00046116461803153656;0.004053844963639177;0.0014590123427737707;0.001124543154343548;0.0007044990768632786;0.0010043605989337038;0.001049317943336831;0.0016493055555555556;0.0015562715011194234;0.005410846860450485;0.002238388360380526;0.0011317704122877931;0.0026006022447303584;0.0006040210544481836;0.0005929439667951378;0.001853138753764188;0.0006957126706670146;0.001524390243902439
2002_CU;0.0020642158078485987;0.0007475671843784236;0.004095962551199532;0.0003477424332183562;0.001142308834616527;0.00060507096008471;0.0016295675987642445;0.0009318299809640447;0.0006713847034350682;0.003643139217976528;0.0011016140613166255;0.0011356202091022428;0.0005015373209184675;0.0008236161081971476;0.0009009708737864078;0.0012528139375550553;0.0011383039271485487;0.004082980575820349;0.002845721254827563;0.0008402530644523527;0.0021087886869689265;0.0008249974218830566;0.0017554638813306416;0.0021252479455936527;0.00080768920119538;0.0036640360766629085
2003_CU;0.002107220328478463;0.0009725995237616125;0.0038949710243909035;0.0003084777554413199;0.0012135322961865454;0.0007140339715393382;0.0018181911566058377;0.0015072745155645254;0.0005850947122065384;0.0036909231099819246;0.0011649603617300648;0.0011004559031598806;0.00027607966870439756;0.0011146738855070681;0.0006931508036217129;0.0013468013468013469;0.0010204589576385086;0.0035502635387934566;0.0021433674684448677;0.0007001330252748022;0.0021646254628311023;0.00039981342040381154;0.0020564739381475914;0.0015599610009749756;0.0011992205066706642;0.0023812673634078583
