Unit Name;Medicine;Social Sciences;Agricultural and Biological Sciences;Engineering;Environmental Science;Computer Science;Biochemistry, Genetics and Molecular Biology;Psychology;Arts and Humanities;Health Professions;Materials Science;Business, Management and Accounting;Economics, Econometrics and Finance;Physics and Astronomy;Earth and Planetary Sciences;Neuroscience;Chemistry;Immunology and Microbiology;Energy;Mathematics;Nursing;Decision Sciences;Dentistry;Pharmacology, Toxicology and Pharmaceutics;Chemical Engineering;Veterinary
1980_VE;0.06929291876329916;-0.16915116034500557;0.12181305959710607;-0.16208610498946355;0.05902476611879511;-0.3265388023964137;0.28302891185361795;-0.5533234725710314;-0.45082234618278505;-0.06939646223765594;0.2002953678845371;-0.4547741352255926;-0.45192039510213633;0.2783233802338786;0.3961971090310174;0.3266285488880148;0.09328552927773;-0.09672320955545921;0.4723494301654037;0.23552280234719303;0.0;-0.17121553701746875;-0.11457114897471042;-0.448435151294706;0.02980508159267923;-0.16821379747612422
1981_VE;0.0814697389508751;-0.10324830789089699;0.4510847655725085;-0.344288251561055;0.1594399762287038;-0.1648452844305993;0.043642670788945;-0.25907924556722645;-0.3968947227119267;-0.11507240459190929;0.07059285200431457;-0.01217935440895078;-0.1297912354300996;0.14829964045346172;0.021772204933613096;0.0766352782525869;0.1981348602318773;0.445337754194594;-0.041198031665887876;0.2595924922497529;-0.11702042694637878;-0.4632519669602465;0.22694892847809622;0.23132521078809717;0.043464347657252426;0.48425273365179056
1982_VE;0.08055288813321985;-0.029804084687267165;0.43217721364476186;-0.35172939560937866;0.19650299893413012;-0.3664432304948784;0.03767980509375383;-0.22668725826570366;-0.2143569015643954;-0.0708633578355402;0.0693030501806701;0.2305773146509987;-0.3572360189846205;0.30002436075087546;0.11916018352558629;-0.04459738365829881;0.03922889591508435;0.2434375500115344;0.3319760178289564;0.13492160810255596;-0.03216791646004192;-0.5619257452618475;0.09955726871621175;-0.23872574913718636;-0.4107253785731371;0.1977753533820321
1983_VE;0.17395696235414473;-0.004860352387707681;0.2568683207248302;-0.2880583621348917;0.01741381590003262;-0.08721776882608426;0.025403385207763945;-0.09689933513461126;-0.6234879294080146;-0.06038976352776812;0.3298806671331346;-0.5227994897128097;-0.6184362618832744;0.2766038927995962;-0.13220914440518852;0.25836450632907787;0.17289885690477272;-0.49219270522714187;-0.06946547237801744;0.23901848765120393;-0.026814581285633975;-0.2626704423507689;-0.2402591447047779;-0.19844531582700917;-0.046585075743172416;-0.09399560942961029
1984_VE;0.09652006186292635;-0.10690727667568707;0.3865201684486545;-0.38065983039527884;0.21355949656305984;-0.07434666235915284;0.15718037602574145;-0.29058521662897524;-0.4528615163605944;-0.16644753194023476;0.25131768472126786;-0.5509532927700289;-0.3184005599517213;0.19156300940379067;-0.06918638349706085;0.09064043236485435;0.16276848886719142;0.35144639339395506;0.3868524650476251;0.25852778876158866;0.20507844171318593;-0.2774362478877508;0.0;0.11638283678556798;0.26653757052552607;0.0
1985_VE;0.02802739635118638;-0.07114339192146779;0.479944652041692;-0.31102913176106745;0.19430656203537036;-0.11187473225717878;-0.022442600421133264;-0.05095534221900319;-0.23508092059813113;-0.5712287462843729;0.18487487816454126;0.12127776339854826;-0.13555013752679188;0.12591624419950154;0.12971517313695752;0.05145932062191722;0.17882255523888427;0.21768999281292864;0.538396100566408;0.20279051934921677;0.35161344054793714;0.0;-0.25305025061634584;0.0;-0.008211297468594843;0.0
1986_VE;0.08807542802570897;-0.10020339597914465;0.2708125364597908;-0.3727067616983933;0.19831315746416403;-0.09495994709188818;-0.008074331667028882;-0.20124507653090246;-0.5806373804595775;-0.20078348208226912;0.16211272217931044;-0.06822521080804447;-0.18275999869081316;0.35174405382105134;0.06979317199178181;0.15453483406519;0.2308366539236905;0.2653161938902959;0.5853216463214173;0.46339810770985;-0.22681796504472118;-0.5604584518941886;-0.2906408611442911;0.0;-0.048247155231111005;0.2308233761645539
1987_VE;0.05609625500787421;-0.23103953883903405;0.32860437903695217;-0.2970011568907332;0.24368415418723668;-0.4156571141380958;0.2622637025424749;-0.3148424294753601;-0.28904512213114714;-0.3326381762169491;0.28011053071801634;-0.3922188898634835;-0.7303883542191572;0.35669607219577926;-0.0042172272969293115;-0.019706473492968172;0.2164430745373368;-0.025179203105672635;0.28078648388666255;0.34743494225085914;0.2307248099301014;0.0;0.10457712291836267;-0.15088629766553527;-0.3548803193817815;0.44919418443826903
1988_VE;0.06192131863444611;-0.09509602034003665;0.3136016849455819;-0.3071413815220644;0.21818529888628163;-0.0381440433789969;0.11023456241767463;-0.2574445857087102;-0.4917715103149058;-0.10844608388761418;0.014530763925220744;-0.1700240508765347;-0.3641018829838087;0.31152084906212124;0.038627121074129925;0.35865407242133795;0.20161299052339998;0.2986480874101474;0.10632506471756632;0.26782159088000873;0.23326853553491675;-0.2797601124460894;0.06804681539364489;-0.4595521840902752;0.0;0.2904512218960464
1989_VE;0.08034256191751592;-0.17473939168723568;0.30464335256233926;-0.27558923851728234;0.29115671259039183;-0.38936890494146514;0.08028164231092144;-0.15319775273002692;-0.5059565165100693;-0.2261976274220457;0.0950902673985993;-0.5807785357733157;-0.6343909151007671;0.2871578494415436;0.1193803821236757;0.29755708547096327;0.2642051856347088;0.40077451604856346;0.5028315164562052;0.32266385230593486;0.3110703304088642;-0.5721737970316549;0.43613111862413634;-0.16131325125864499;0.18352220077028547;-0.0777706782567957
