,Documents
1980,
1981,
1982,2.0
1983,1.0
1984,1.0
1985,
1986,2.0
1987,
1988,2.0
1989,1.0
1990,1.0
1991,1.0
1992,1.0
1993,
1994,1.0
1995,1.0
1996,1.0
1997,
1998,3.0
1999,4.0
2000,14.0
2001,17.0
2002,11.0
2003,20.0
2004,16.0
2005,14.0
2006,27.0
2007,19.0
2008,36.0
2009,29.0
2010,36.0
2011,37.0
2012,43.0
2013,73.0
2014,70.0
2015,72.0
2016,90.0
2017,83.0
2018,81.0
2019,82.0
2020,107.0
2021,107.0
2022,150.0
2023,123.0
2024,113.0
