,Documents
1980,6
1981,11
1982,12
1983,8
1984,13
1985,16
1986,8
1987,10
1988,18
1989,8
1990,15
1991,11
1992,8
1993,15
1994,12
1995,7
1996,15
1997,12
1998,11
1999,12
2000,22
2001,23
2002,27
2003,22
2004,32
2005,28
2006,34
2007,48
2008,53
2009,60
2010,67
2011,58
2012,56
2013,70
2014,79
2015,97
2016,85
2017,67
2018,84
2019,95
2020,126
2021,171
2022,179
2023,196
2024,181
