,Documents
1980,5
1981,6
1982,8
1983,21
1984,10
1985,16
1986,15
1987,8
1988,8
1989,11
1990,10
1991,13
1992,18
1993,21
1994,17
1995,11
1996,17
1997,17
1998,20
1999,10
2000,20
2001,18
2002,9
2003,21
2004,35
2005,26
2006,35
2007,40
2008,23
2009,39
2010,38
2011,44
2012,30
2013,46
2014,57
2015,45
2016,74
2017,68
2018,72
2019,69
2020,71
2021,105
2022,101
2023,115
2024,83
