,Documents
1980,553
1981,621
1982,642
1983,567
1984,587
1985,507
1986,573
1987,805
1988,801
1989,956
1990,1235
1991,1205
1992,1711
1993,2111
1994,2340
1995,2667
1996,2867
1997,3487
1998,3881
1999,4345
2000,5090
2001,5754
2002,7067
2003,6563
2004,7015
2005,6563
2006,7249
2007,7569
2008,7889
2009,8092
2010,8960
2011,9188
2012,11141
2013,14130
2014,15466
2015,16720
2016,20371
2017,25126
2018,32446
2019,43578
2020,50429
2021,50071
2022,44952
2023,52126
2024,45575
