,Documents
1980,4918
1981,5332
1982,5716
1983,6157
1984,6653
1985,7222
1986,7513
1987,8785
1988,9874
1989,10061
1990,11134
1991,11740
1992,12063
1993,12718
1994,13642
1995,14420
1996,15833
1997,16219
1998,17219
1999,18195
2000,18787
2001,19457
2002,23849
2003,23096
2004,23285
2005,24779
2006,26511
2007,26251
2008,29658
2009,32154
2010,32877
2011,34655
2012,37959
2013,39636
2014,42577
2015,43586
2016,45193
2017,46457
2018,47646
2019,49954
2020,52977
2021,54366
2022,51736
2023,52725
2024,52773
