,Documents
1980,385
1981,390
1982,408
1983,475
1984,466
1985,522
1986,619
1987,723
1988,903
1989,954
1990,1416
1991,1553
1992,1708
1993,1879
1994,2184
1995,2540
1996,2692
1997,3306
1998,3738
1999,4446
2000,4895
2001,5625
2002,8012
2003,8033
2004,8631
2005,9920
2006,12120
2007,12876
2008,15177
2009,16961
2010,19343
2011,22162
2012,25740
2013,27972
2014,30903
2015,32284
2016,33337
2017,35431
2018,36735
2019,40745
2020,43846
2021,47803
2022,45717
2023,47401
2024,44861
