,Documents
1980,3517
1981,3936
1982,3927
1983,3973
1984,3909
1985,3771
1986,4311
1987,4313
1988,4733
1989,5451
1990,6023
1991,6324
1992,7327
1993,8601
1994,9711
1995,10709
1996,12174
1997,14864
1998,17619
1999,20653
2000,23715
2001,25850
2002,33316
2003,35368
2004,39821
2005,44463
2006,52195
2007,60373
2008,69224
2009,77474
2010,85945
2011,96465
2012,114573
2013,126294
2014,142744
2015,158507
2016,173245
2017,189303
2018,199429
2019,209006
2020,235613
2021,226222
2022,194594
2023,211715
2024,207753
