,Documents
1980,4
1981,5
1982,2
1983,1
1984,10
1985,2
1986,8
1987,13
1988,11
1989,22
1990,20
1991,27
1992,52
1993,35
1994,32
1995,39
1996,37
1997,35
1998,36
1999,28
2000,42
2001,38
2002,39
2003,40
2004,46
2005,65
2006,67
2007,59
2008,68
2009,91
2010,85
2011,103
2012,143
2013,114
2014,142
2015,196
2016,208
2017,153
2018,191
2019,226
2020,216
2021,225
2022,191
2023,228
2024,207
