,Documents
1980,260
1981,209
1982,150
1983,153
1984,134
1985,155
1986,219
1987,246
1988,285
1989,281
1990,362
1991,398
1992,432
1993,538
1994,632
1995,749
1996,939
1997,1025
1998,1239
1999,1636
2000,2415
2001,2426
2002,3773
2003,5099
2004,6702
2005,8961
2006,12904
2007,16068
2008,20687
2009,24562
2010,31094
2011,41815
2012,48229
2013,53364
2014,61426
2015,67694
2016,75151
2017,79442
2018,84049
2019,90104
2020,98934
2021,97334
2022,83970
2023,76798
2024,78282
