,Documents
1980,61
1981,76
1982,104
1983,75
1984,85
1985,94
1986,63
1987,113
1988,91
1989,100
1990,108
1991,108
1992,110
1993,136
1994,147
1995,124
1996,169
1997,173
1998,193
1999,202
2000,170
2001,174
2002,185
2003,210
2004,229
2005,276
2006,295
2007,300
2008,326
2009,475
2010,433
2011,530
2012,566
2013,674
2014,683
2015,838
2016,848
2017,1000
2018,1101
2019,1115
2020,1461
2021,1464
2022,1584
2023,1703
2024,1727
