,Documents
1980,264
1981,308
1982,284
1983,332
1984,346
1985,418
1986,367
1987,469
1988,428
1989,438
1990,513
1991,784
1992,961
1993,984
1994,1190
1995,1385
1996,1593
1997,1894
1998,2142
1999,1852
2000,2422
2001,2434
2002,3749
2003,3449
2004,3762
2005,4237
2006,5164
2007,6424
2008,8705
2009,9217
2010,11683
2011,11718
2012,13022
2013,15348
2014,18098
2015,20359
2016,17533
2017,19485
2018,19761
2019,22899
2020,24252
2021,25909
2022,25855
2023,25710
2024,24440
