,Documents
1980,66
1981,69
1982,67
1983,81
1984,98
1985,101
1986,90
1987,117
1988,112
1989,109
1990,139
1991,116
1992,123
1993,120
1994,101
1995,122
1996,115
1997,86
1998,84
1999,80
2000,79
2001,114
2002,86
2003,97
2004,77
2005,77
2006,114
2007,108
2008,138
2009,132
2010,132
2011,142
2012,165
2013,189
2014,219
2015,244
2016,225
2017,238
2018,234
2019,294
2020,301
2021,360
2022,355
2023,351
2024,410
