,Documents
1980,16
1981,19
1982,29
1983,30
1984,31
1985,34
1986,34
1987,30
1988,37
1989,35
1990,61
1991,73
1992,59
1993,68
1994,64
1995,82
1996,102
1997,83
1998,108
1999,127
2000,166
2001,173
2002,190
2003,240
2004,360
2005,365
2006,435
2007,532
2008,625
2009,697
2010,820
2011,1229
2012,1288
2013,1880
2014,2592
2015,1978
2016,1266
2017,1273
2018,1540
2019,1644
2020,1935
2021,2203
2022,2383
2023,2408
2024,2803
