,Documents
1980,3083
1981,3328
1982,3047
1983,3470
1984,3935
1985,4159
1986,4532
1987,5760
1988,6791
1989,6763
1990,8462
1991,8871
1992,11370
1993,12400
1994,12865
1995,14366
1996,15127
1997,15449
1998,16991
1999,18033
2000,20072
2001,21749
2002,24830
2003,28276
2004,31386
2005,33258
2006,33087
2007,34755
2008,37549
2009,42678
2010,46049
2011,51565
2012,58734
2013,70323
2014,76759
2015,83516
2016,85496
2017,86945
2018,85887
2019,80185
2020,81143
2021,81304
2022,75525
2023,78686
2024,77159
