,Documents
1980,13
1981,5
1982,14
1983,15
1984,16
1985,15
1986,10
1987,11
1988,22
1989,26
1990,17
1991,17
1992,23
1993,28
1994,35
1995,26
1996,40
1997,42
1998,52
1999,43
2000,63
2001,39
2002,51
2003,77
2004,81
2005,101
2006,128
2007,108
2008,142
2009,140
2010,174
2011,117
2012,152
2013,157
2014,249
2015,185
2016,191
2017,240
2018,247
2019,224
2020,275
2021,241
2022,291
2023,310
2024,279
