,Documents
1980,36453
1981,39397
1982,40058
1983,42109
1984,45179
1985,47609
1986,49545
1987,56684
1988,61433
1989,63818
1990,67591
1991,70408
1992,74267
1993,78846
1994,85131
1995,89791
1996,96046
1997,97684
1998,102623
1999,106703
2000,115845
2001,113781
2002,130668
2003,133334
2004,135493
2005,146020
2006,158579
2007,163593
2008,174407
2009,182809
2010,190686
2011,199277
2012,209389
2013,217617
2014,227378
2015,238424
2016,242184
2017,247381
2018,253496
2019,262912
2020,285715
2021,291347
2022,271043
2023,275725
2024,279389
