,Documents
1980,44
1981,41
1982,51
1983,50
1984,38
1985,40
1986,58
1987,47
1988,55
1989,40
1990,50
1991,55
1992,45
1993,93
1994,57
1995,56
1996,85
1997,96
1998,102
1999,109
2000,107
2001,117
2002,106
2003,140
2004,144
2005,157
2006,232
2007,178
2008,164
2009,193
2010,252
2011,235
2012,267
2013,325
2014,502
2015,435
2016,467
2017,513
2018,609
2019,748
2020,966
2021,992
2022,911
2023,1054
2024,1033
