,Documents
1980,4.0
1981,1.0
1982,3.0
1983,3.0
1984,2.0
1985,3.0
1986,5.0
1987,
1988,4.0
1989,4.0
1990,2.0
1991,2.0
1992,6.0
1993,5.0
1994,9.0
1995,9.0
1996,7.0
1997,5.0
1998,13.0
1999,9.0
2000,8.0
2001,13.0
2002,10.0
2003,11.0
2004,7.0
2005,14.0
2006,21.0
2007,17.0
2008,23.0
2009,18.0
2010,17.0
2011,23.0
2012,24.0
2013,24.0
2014,27.0
2015,15.0
2016,18.0
2017,13.0
2018,20.0
2019,35.0
2020,24.0
2021,39.0
2022,34.0
2023,27.0
2024,35.0
