,Documents
1980,95
1981,73
1982,75
1983,101
1984,81
1985,81
1986,107
1987,106
1988,91
1989,74
1990,114
1991,117
1992,128
1993,116
1994,147
1995,177
1996,123
1997,175
1998,221
1999,192
2000,256
2001,232
2002,345
2003,348
2004,412
2005,434
2006,644
2007,666
2008,761
2009,1081
2010,1207
2011,1244
2012,1569
2013,2153
2014,2957
2015,4598
2016,6260
2017,9916
2018,10637
2019,11536
2020,13904
2021,15003
2022,14701
2023,17566
2024,21790
