,Documents
1980,129
1981,174
1982,196
1983,239
1984,272
1985,296
1986,264
1987,278
1988,333
1989,348
1990,393
1991,510
1992,427
1993,536
1994,576
1995,634
1996,811
1997,889
1998,918
1999,1183
2000,1608
2001,1740
2002,2176
2003,2341
2004,3093
2005,3727
2006,4296
2007,5572
2008,6344
2009,8923
2010,11259
2011,14610
2012,23205
2013,32990
2014,40212
2015,58511
2016,84180
2017,128403
2018,177466
2019,228877
2020,273288
2021,326522
2022,350132
2023,430307
2024,440952
