,Documents
1980,3
1981,9
1982,10
1983,24
1984,30
1985,34
1986,37
1987,50
1988,75
1989,94
1990,86
1991,106
1992,101
1993,97
1994,115
1995,108
1996,93
1997,87
1998,93
1999,108
2000,102
2001,120
2002,144
2003,154
2004,201
2005,194
2006,262
2007,233
2008,231
2009,277
2010,294
2011,392
2012,428
2013,611
2014,619
2015,606
2016,573
2017,704
2018,895
2019,1090
2020,1456
2021,1842
2022,2007
2023,2086
2024,2536
