,Documents
1980,6
1981,7
1982,7
1983,10
1984,8
1985,9
1986,9
1987,11
1988,13
1989,11
1990,7
1991,8
1992,12
1993,6
1994,8
1995,6
1996,15
1997,14
1998,23
1999,13
2000,15
2001,19
2002,22
2003,20
2004,27
2005,23
2006,33
2007,46
2008,97
2009,61
2010,64
2011,59
2012,71
2013,102
2014,85
2015,82
2016,97
2017,106
2018,113
2019,114
2020,141
2021,153
2022,121
2023,140
2024,132
