,Documents
1980,46
1981,42
1982,53
1983,43
1984,60
1985,51
1986,62
1987,86
1988,59
1989,77
1990,71
1991,103
1992,121
1993,123
1994,179
1995,193
1996,187
1997,237
1998,263
1999,263
2000,276
2001,292
2002,335
2003,336
2004,392
2005,485
2006,517
2007,459
2008,471
2009,592
2010,534
2011,610
2012,752
2013,833
2014,969
2015,1034
2016,1225
2017,1375
2018,1404
2019,1599
2020,1930
2021,2608
2022,2691
2023,3268
2024,3253
