,Documents
1980,6
1981,5
1982,7
1983,6
1984,7
1985,3
1986,7
1987,6
1988,9
1989,6
1990,15
1991,26
1992,13
1993,14
1994,20
1995,31
1996,34
1997,34
1998,33
1999,45
2000,53
2001,41
2002,28
2003,26
2004,53
2005,65
2006,48
2007,50
2008,75
2009,86
2010,88
2011,104
2012,101
2013,133
2014,166
2015,184
2016,205
2017,199
2018,195
2019,228
2020,243
2021,238
2022,260
2023,260
2024,328
