,Documents
1980,6
1981,1
1982,2
1983,2
1984,6
1985,2
1986,6
1987,1
1988,7
1989,8
1990,5
1991,11
1992,7
1993,6
1994,2
1995,6
1996,13
1997,4
1998,7
1999,4
2000,16
2001,12
2002,13
2003,15
2004,10
2005,17
2006,24
2007,29
2008,28
2009,34
2010,42
2011,40
2012,67
2013,84
2014,90
2015,103
2016,108
2017,99
2018,111
2019,141
2020,169
2021,171
2022,191
2023,187
2024,194
