,Documents
1980,1135
1981,1294
1982,1385
1983,1401
1984,1515
1985,1502
1986,1928
1987,2191
1988,2192
1989,2164
1990,2668
1991,2459
1992,2387
1993,2742
1994,3082
1995,3493
1996,4209
1997,4611
1998,4938
1999,5459
2000,6368
2001,6706
2002,7383
2003,8002
2004,8698
2005,9676
2006,10702
2007,11288
2008,12679
2009,14079
2010,15764
2011,17190
2012,19067
2013,20703
2014,22033
2015,22698
2016,24075
2017,25131
2018,27805
2019,27547
2020,31766
2021,29773
2022,26046
2023,26531
2024,25556
