,Documents
1980,7
1981,2
1982,12
1983,12
1984,8
1985,7
1986,9
1987,8
1988,5
1989,7
1990,4
1991,9
1992,7
1993,11
1994,9
1995,4
1996,14
1997,12
1998,19
1999,11
2000,23
2001,26
2002,26
2003,42
2004,38
2005,35
2006,45
2007,52
2008,69
2009,66
2010,55
2011,48
2012,58
2013,71
2014,39
2015,57
2016,50
2017,59
2018,37
2019,50
2020,69
2021,46
2022,67
2023,65
2024,70
