,Documents
1980,2.0
1981,
1982,3.0
1983,
1984,1.0
1985,
1986,1.0
1987,3.0
1988,6.0
1989,4.0
1990,7.0
1991,3.0
1992,7.0
1993,5.0
1994,5.0
1995,11.0
1996,5.0
1997,3.0
1998,10.0
1999,12.0
2000,17.0
2001,32.0
2002,21.0
2003,26.0
2004,31.0
2005,28.0
2006,55.0
2007,58.0
2008,43.0
2009,45.0
2010,48.0
2011,53.0
2012,58.0
2013,81.0
2014,96.0
2015,130.0
2016,145.0
2017,150.0
2018,171.0
2019,279.0
2020,300.0
2021,405.0
2022,309.0
2023,442.0
2024,420.0
