,Documents
1980,
1981,
1982,
1983,
1984,
1985,
1986,
1987,1.0
1988,
1989,
1990,1.0
1991,2.0
1992,2.0
1993,2.0
1994,
1995,2.0
1996,6.0
1997,4.0
1998,7.0
1999,8.0
2000,4.0
2001,1.0
2002,13.0
2003,8.0
2004,14.0
2005,15.0
2006,13.0
2007,13.0
2008,18.0
2009,22.0
2010,25.0
2011,24.0
2012,34.0
2013,31.0
2014,41.0
2015,42.0
2016,40.0
2017,47.0
2018,53.0
2019,33.0
2020,46.0
2021,45.0
2022,26.0
2023,52.0
2024,54.0
