,Documents
1980,103
1981,91
1982,91
1983,118
1984,115
1985,102
1986,128
1987,116
1988,130
1989,159
1990,141
1991,201
1992,233
1993,216
1994,357
1995,319
1996,423
1997,557
1998,705
1999,744
2000,777
2001,933
2002,1344
2003,1563
2004,1913
2005,2023
2006,2297
2007,2162
2008,2296
2009,2420
2010,2763
2011,3076
2012,3891
2013,4083
2014,5389
2015,5178
2016,4733
2017,5211
2018,5750
2019,6083
2020,6783
2021,6928
2022,6920
2023,6983
2024,6992
