,Documents
1980,46
1981,57
1982,72
1983,78
1984,114
1985,105
1986,143
1987,126
1988,145
1989,165
1990,154
1991,203
1992,206
1993,224
1994,255
1995,217
1996,211
1997,331
1998,301
1999,323
2000,374
2001,473
2002,474
2003,535
2004,563
2005,657
2006,706
2007,850
2008,1106
2009,1236
2010,1585
2011,1971
2012,2534
2013,3050
2014,3844
2015,4284
2016,4992
2017,4732
2018,5140
2019,5585
2020,7214
2021,7578
2022,7641
2023,7918
2024,8206
