,Documents
1980,
1981,
1982,
1983,1.0
1984,
1985,
1986,
1987,
1988,1.0
1989,
1990,1.0
1991,
1992,
1993,3.0
1994,
1995,1.0
1996,1.0
1997,3.0
1998,7.0
1999,3.0
2000,
2001,2.0
2002,4.0
2003,2.0
2004,7.0
2005,10.0
2006,11.0
2007,9.0
2008,6.0
2009,9.0
2010,10.0
2011,9.0
2012,19.0
2013,21.0
2014,33.0
2015,26.0
2016,22.0
2017,26.0
2018,31.0
2019,31.0
2020,43.0
2021,37.0
2022,54.0
2023,58.0
2024,36.0
