,Documents
1980,161430
1981,173529
1982,179998
1983,185765
1984,198578
1985,206804
1986,216014
1987,244035
1988,271338
1989,284283
1990,304975
1991,314468
1992,322586
1993,331812
1994,339655
1995,346219
1996,369524
1997,373784
1998,387354
1999,394734
2000,415420
2001,419660
2002,566875
2003,541524
2004,543921
2005,588293
2006,616793
2007,612408
2008,653292
2009,670807
2010,703548
2011,728723
2012,757328
2013,786874
2014,822934
2015,844815
2016,843408
2017,857130
2018,882959
2019,932823
2020,1020235
2021,960112
2022,919675
2023,998748
2024,965919
