,Documents
1980,31
1981,30
1982,38
1983,48
1984,45
1985,53
1986,76
1987,70
1988,59
1989,71
1990,78
1991,98
1992,112
1993,109
1994,143
1995,160
1996,191
1997,234
1998,272
1999,292
2000,328
2001,359
2002,389
2003,452
2004,492
2005,582
2006,687
2007,765
2008,860
2009,1082
2010,1103
2011,1212
2012,1221
2013,1406
2014,1547
2015,1734
2016,1886
2017,1993
2018,2160
2019,2273
2020,2606
2021,2587
2022,2386
2023,2546
2024,2873
