,Documents
1980,8586
1981,9310
1982,9409
1983,9743
1984,10170
1985,10112
1986,10758
1987,12176
1988,12871
1989,13397
1990,15364
1991,16304
1992,16802
1993,16498
1994,16951
1995,16495
1996,18163
1997,18234
1998,19482
1999,20947
2000,22789
2001,25071
2002,29405
2003,31363
2004,33379
2005,38859
2006,46030
2007,50119
2008,55853
2009,63142
2010,75046
2011,91436
2012,110548
2013,129064
2014,149380
2015,158565
2016,179293
2017,194512
2018,205317
2019,213701
2020,261436
2021,288290
2022,315520
2023,343868
2024,374608
