,Documents
1980,55
1981,63
1982,52
1983,55
1984,76
1985,82
1986,78
1987,90
1988,112
1989,84
1990,108
1991,120
1992,102
1993,107
1994,97
1995,98
1996,87
1997,134
1998,129
1999,112
2000,166
2001,184
2002,228
2003,262
2004,246
2005,267
2006,324
2007,316
2008,379
2009,401
2010,468
2011,499
2012,584
2013,722
2014,837
2015,884
2016,958
2017,1026
2018,1115
2019,1260
2020,1718
2021,1900
2022,2151
2023,4121
2024,2527
