,Documents
1980,26
1981,28
1982,21
1983,32
1984,31
1985,33
1986,26
1987,46
1988,47
1989,29
1990,33
1991,48
1992,29
1993,42
1994,30
1995,23
1996,35
1997,45
1998,32
1999,46
2000,60
2001,61
2002,66
2003,89
2004,106
2005,109
2006,157
2007,142
2008,151
2009,158
2010,169
2011,209
2012,261
2013,321
2014,386
2015,368
2016,429
2017,475
2018,506
2019,578
2020,576
2021,741
2022,747
2023,691
2024,732
