,Documents
1980,296
1981,305
1982,257
1983,346
1984,381
1985,382
1986,424
1987,595
1988,660
1989,661
1990,900
1991,977
1992,1000
1993,1051
1994,1060
1995,1126
1996,1237
1997,1409
1998,1696
1999,1910
2000,2295
2001,2649
2002,3657
2003,4035
2004,4358
2005,5508
2006,6693
2007,6949
2008,8211
2009,8994
2010,10432
2011,11112
2012,13322
2013,13932
2014,15857
2015,16252
2016,17393
2017,19496
2018,20574
2019,21685
2020,23097
2021,26407
2022,28301
2023,28621
2024,31992
