,Documents
1980,1.0
1981,
1982,
1983,1.0
1984,
1985,1.0
1986,
1987,1.0
1988,5.0
1989,1.0
1990,5.0
1991,3.0
1992,1.0
1993,
1994,2.0
1995,
1996,
1997,1.0
1998,4.0
1999,1.0
2000,3.0
2001,1.0
2002,1.0
2003,1.0
2004,1.0
2005,4.0
2006,2.0
2007,3.0
2008,5.0
2009,4.0
2010,12.0
2011,10.0
2012,17.0
2013,48.0
2014,36.0
2015,27.0
2016,41.0
2017,23.0
2018,52.0
2019,31.0
2020,83.0
2021,60.0
2022,51.0
2023,65.0
2024,60.0
