,Documents
1980,
1981,1.0
1982,1.0
1983,1.0
1984,1.0
1985,
1986,1.0
1987,
1988,1.0
1989,1.0
1990,3.0
1991,
1992,2.0
1993,4.0
1994,4.0
1995,4.0
1996,2.0
1997,2.0
1998,2.0
1999,3.0
2000,3.0
2001,1.0
2002,2.0
2003,2.0
2004,1.0
2005,2.0
2006,1.0
2007,4.0
2008,3.0
2009,3.0
2010,4.0
2011,5.0
2012,
2013,3.0
2014,5.0
2015,11.0
2016,12.0
2017,7.0
2018,14.0
2019,21.0
2020,16.0
2021,21.0
2022,8.0
2023,17.0
2024,21.0
