,Documents
1980,1477
1981,2060
1982,2721
1983,2976
1984,3501
1985,4402
1986,5008
1987,6686
1988,8111
1989,9486
1990,12928
1991,13910
1992,15890
1993,17096
1994,16901
1995,17988
1996,21691
1997,25917
1998,28986
1999,35918
2000,53020
2001,68904
2002,99647
2003,130152
2004,204113
2005,279815
2006,367736
2007,454121
2008,515893
2009,574435
2010,634928
2011,685582
2012,620626
2013,635225
2014,607813
2015,537912
2016,459034
2017,502862
2018,578445
2019,654193
2020,716138
2021,809189
2022,969909
2023,980999
2024,1117725
