,Documents
1980,972
1981,1007
1982,1114
1983,1170
1984,1325
1985,1251
1986,1350
1987,1620
1988,1673
1989,1940
1990,2178
1991,2348
1992,2249
1993,2360
1994,2620
1995,2577
1996,2729
1997,2872
1998,2937
1999,3462
2000,4149
2001,4152
2002,5914
2003,6003
2004,5378
2005,6150
2006,7379
2007,7746
2008,8767
2009,10251
2010,11673
2011,13343
2012,15624
2013,18912
2014,21660
2015,24454
2016,28190
2017,30674
2018,35446
2019,40714
2020,49016
2021,56550
2022,59979
2023,59270
2024,58816
