,Documents
1980,66
1981,78
1982,106
1983,107
1984,136
1985,145
1986,175
1987,183
1988,213
1989,226
1990,221
1991,278
1992,293
1993,311
1994,329
1995,373
1996,433
1997,689
1998,575
1999,645
2000,753
2001,1113
2002,1258
2003,1383
2004,2102
2005,1977
2006,2637
2007,3070
2008,3363
2009,3691
2010,3631
2011,4576
2012,5532
2013,6731
2014,7682
2015,9226
2016,9673
2017,10718
2018,12439
2019,11750
2020,13582
2021,14921
2022,12602
2023,13449
2024,14462
