,Documents
1980,216
1981,230
1982,256
1983,245
1984,273
1985,289
1986,310
1987,303
1988,351
1989,381
1990,508
1991,469
1992,511
1993,491
1994,478
1995,556
1996,533
1997,670
1998,761
1999,743
2000,784
2001,741
2002,973
2003,1061
2004,1084
2005,1205
2006,1375
2007,1529
2008,1798
2009,2088
2010,2388
2011,2452
2012,3256
2013,3649
2014,4375
2015,5078
2016,4965
2017,5878
2018,6966
2019,8289
2020,9570
2021,11558
2022,13473
2023,16500
2024,17520
