,Documents
1980,48
1981,57
1982,80
1983,72
1984,70
1985,73
1986,90
1987,102
1988,108
1989,148
1990,157
1991,185
1992,200
1993,209
1994,239
1995,261
1996,278
1997,273
1998,342
1999,307
2000,407
2001,463
2002,558
2003,581
2004,628
2005,638
2006,733
2007,768
2008,958
2009,1047
2010,1223
2011,1284
2012,1370
2013,1462
2014,1570
2015,1682
2016,1727
2017,1928
2018,1994
2019,2162
2020,2234
2021,2459
2022,2429
2023,2620
2024,2554
