,Documents
1980,1661
1981,1743
1982,1828
1983,1899
1984,2202
1985,2619
1986,3038
1987,3574
1988,3816
1989,3753
1990,4160
1991,4218
1992,4211
1993,4326
1994,4494
1995,4534
1996,4614
1997,4713
1998,4904
1999,5149
2000,5944
2001,6251
2002,7527
2003,7639
2004,8337
2005,9025
2006,10461
2007,10884
2008,12305
2009,13667
2010,15190
2011,19088
2012,21669
2013,24175
2014,26818
2015,26504
2016,28514
2017,28819
2018,29251
2019,31528
2020,34825
2021,36918
2022,37856
2023,37376
2024,39948
