,Documents
1980,212
1981,226
1982,179
1983,200
1984,192
1985,188
1986,244
1987,219
1988,232
1989,263
1990,231
1991,197
1992,253
1993,255
1994,249
1995,238
1996,182
1997,375
1998,371
1999,359
2000,445
2001,452
2002,457
2003,509
2004,533
2005,541
2006,561
2007,680
2008,653
2009,710
2010,799
2011,764
2012,708
2013,834
2014,931
2015,1156
2016,1260
2017,1298
2018,1516
2019,2898
2020,6774
2021,14911
2022,12637
2023,15608
2024,12671
