,Documents
1980,49
1981,58
1982,75
1983,82
1984,107
1985,123
1986,181
1987,228
1988,295
1989,272
1990,276
1991,245
1992,233
1993,235
1994,281
1995,325
1996,388
1997,410
1998,490
1999,550
2000,586
2001,580
2002,811
2003,865
2004,909
2005,1072
2006,1273
2007,1389
2008,1584
2009,1834
2010,2130
2011,2231
2012,2774
2013,3313
2014,3633
2015,3689
2016,4036
2017,4532
2018,5395
2019,6555
2020,7950
2021,8598
2022,10795
2023,12405
2024,14570
