,Documents
1980,28807
1981,31495
1982,33205
1983,35734
1984,37004
1985,40227
1986,42287
1987,51905
1988,56228
1989,60042
1990,68657
1991,71822
1992,74386
1993,78489
1994,81773
1995,84601
1996,90530
1997,93705
1998,100428
1999,104051
2000,112596
2001,113766
2002,151825
2003,141888
2004,139015
2005,144149
2006,150242
2007,144974
2008,146672
2009,151996
2010,153536
2011,158789
2012,163506
2013,163724
2014,165728
2015,167183
2016,167519
2017,170091
2018,173128
2019,173415
2020,177383
2021,176117
2022,169210
2023,166559
2024,167589
