,Documents
1980,47
1981,47
1982,56
1983,45
1984,95
1985,94
1986,86
1987,81
1988,79
1989,82
1990,87
1991,103
1992,99
1993,102
1994,165
1995,190
1996,211
1997,292
1998,293
1999,281
2000,355
2001,406
2002,558
2003,576
2004,655
2005,843
2006,987
2007,1049
2008,1295
2009,1495
2010,1671
2011,1852
2012,2105
2013,2401
2014,2456
2015,2715
2016,3279
2017,3898
2018,4042
2019,4636
2020,5787
2021,6487
2022,6990
2023,7287
2024,7287
