,Documents
1980,121
1981,136
1982,122
1983,121
1984,123
1985,115
1986,100
1987,131
1988,119
1989,116
1990,137
1991,132
1992,159
1993,146
1994,192
1995,189
1996,167
1997,155
1998,190
1999,194
2000,190
2001,232
2002,288
2003,234
2004,297
2005,304
2006,346
2007,339
2008,360
2009,468
2010,455
2011,450
2012,515
2013,479
2014,559
2015,517
2016,407
2017,496
2018,422
2019,497
2020,501
2021,589
2022,551
2023,514
2024,548
