,Documents
1980,9440
1981,10096
1982,10216
1983,11006
1984,11782
1985,12002
1986,12447
1987,13689
1988,14954
1989,15236
1990,16674
1991,17657
1992,18889
1993,20675
1994,22203
1995,23761
1996,26169
1997,27978
1998,29849
1999,31120
2000,33304
2001,34493
2002,44220
2003,43577
2004,46095
2005,50848
2006,57523
2007,59844
2008,65052
2009,70427
2010,76145
2011,82769
2012,89858
2013,98767
2014,103847
2015,109696
2016,110888
2017,114153
2018,116798
2019,125782
2020,133687
2021,136451
2022,129047
2023,125378
2024,130123
