,Documents
1980,6708
1981,7581
1982,8125
1983,9268
1984,10348
1985,10711
1986,11121
1987,14518
1988,17906
1989,19432
1990,23037
1991,24735
1992,26677
1993,27318
1994,29382
1995,30758
1996,34775
1997,35150
1998,36924
1999,38357
2000,41221
2001,42728
2002,56643
2003,57204
2004,59607
2005,62947
2006,69644
2007,72493
2008,80399
2009,85151
2010,88241
2011,91764
2012,99914
2013,107154
2014,112969
2015,118723
2016,121506
2017,124592
2018,128436
2019,137947
2020,159739
2021,162525
2022,156506
2023,156928
2024,159132
