,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
Engineering,1158243.0,1.0,0.7155002474409203,0.7193377562716285,0.9999120697466122,0.9687948638947996,0.826810463348935,1.0,0.7193377562716285,1.0,0.7155002474409203
Physics and Astronomy,207519.0,1.0,0.6493654607500275,0.6693162341372206,0.9989023661321165,0.9593324215300981,0.7966792928991174,1.0,0.6693162341372206,1.0,0.6493654607500275
Materials Science,255732.0,1.0,0.5941317490401791,0.6154465532499871,0.9991771086717508,0.9355985544365353,0.7848409754744354,1.0,0.6154465532499871,1.0,0.5941317490401791
Neuroscience,124363.0,1.0,0.5023350788685321,0.5376662008948451,0.9982700553126856,0.9210096504442198,0.7622327057886676,1.0,0.5376662008948451,1.0,0.5023350788685321
Chemistry,117421.0,1.0,0.48377969255348247,0.5125369458128078,0.9987466591612716,0.8589699955217197,0.798585096559577,1.0,0.5125369458128078,1.0,0.48377969255348247
Computer Science,666875.0,1.0,0.4849568439911194,0.4930064449159566,0.9998593618538705,0.9101491863415483,0.7325753574201082,1.0,0.4930064449159566,1.0,0.4849568439911194
Chemical Engineering,25328.0,1.0,0.38919812508804646,0.48402467937349486,0.9878839180770665,0.7338333302219651,0.8666316022467678,1.0,0.48402467937349486,1.0,0.38919812508804646
"Biochemistry, Genetics and Molecular Biology",411842.0,1.0,0.41841086904200187,0.4308851771344826,0.9996718002634635,0.9286943229035095,0.6815058202317741,1.0,0.4308851771344826,1.0,0.41841086904200187
Energy,80214.0,1.0,0.29967401078850175,0.35652456171830743,0.9961088913450158,0.7649763391752278,0.7554107607997356,1.0,0.35652456171830743,1.0,0.29967401078850175
Dentistry,36377.0,1.0,0.2539475489118852,0.35558032869496176,0.9863229501453853,0.7356992495301323,0.7672288487244576,1.0,0.35558032869496176,1.0,0.2539475489118852
Mathematics,111984.0,1.0,0.27279638079248075,0.3072285247077173,0.9986909410119121,0.7795705845867081,0.7413637184427899,1.0,0.3072285247077173,1.0,0.27279638079248075
Veterinary,10523.0,1.0,0.04200196624929573,0.28094031924730767,0.9399746836482749,0.523668237750684,0.8070580437533912,1.0,0.28094031924730767,1.0,0.04200196624929573
Arts and Humanities,344642.0,1.0,0.23890525816696984,0.2644732689931732,0.999148725035659,0.9174739329952871,0.5303536229743979,1.0,0.2644732689931732,1.0,0.23890525816696984
Decision Sciences,89618.0,1.0,0.2154293345909768,0.24881748401634088,0.9984754524729688,0.6743302739968613,0.7881109617478598,1.0,0.24881748401634088,1.0,0.2154293345909768
Psychology,258734.0,1.0,0.2243842330288211,0.24120067103518128,0.9996370607193412,0.7577397805996505,0.7123470618844334,1.0,0.24120067103518128,1.0,0.2243842330288211
"Pharmacology, Toxicology and Pharmaceutics",26690.0,1.0,0.11612325825157951,0.21015055485631567,0.9911360706042843,0.5913848511321264,0.7738099772927429,1.0,0.21015055485631567,1.0,0.11612325825157951
"Business, Management and Accounting",291442.0,1.0,0.18897585257727412,0.20512504576425802,0.9994882055573758,0.8183184108222811,0.5848452189640622,1.0,0.20512504576425802,1.0,0.18897585257727412
Earth and Planetary Sciences,174452.0,1.0,0.03591268292359211,0.059945968199338326,0.9993687167211006,0.9015698906112799,0.3560633704684903,1.0,0.059945968199338326,1.0,0.03591268292359211
"Economics, Econometrics and Finance",204509.0,1.0,0.029850355891748514,0.05527885039412139,0.9992608276509685,0.7361376769113289,0.5840588883981194,1.0,0.05527885039412139,1.0,0.029850355891748514
Agricultural and Biological Sciences,385587.0,1.0,0.007440452052479897,0.017366427770050062,0.999810237247428,0.8384909364389358,0.4318383329626359,1.0,0.017366427770050062,1.0,0.007440452052479897
Social Sciences,1196740.0,1.0,-0.019447261981373552,-0.013977042416531815,0.9999281537901383,0.9424031867489382,0.2226310315781664,1.0,-0.013977042416531815,1.0,-0.019447261981373552
Medicine,1553060.0,1.0,-0.02209389167610676,-0.019781660189703763,0.9999808218682603,0.9119458747629873,0.26701435785205946,1.0,-0.019781660189703763,1.0,-0.02209389167610676
Immunology and Microbiology,73874.0,1.0,-0.16993985361310185,-0.13794774849795516,0.9985596921886217,0.6616457187528275,0.49905991840243596,1.0,-0.13794774849795516,1.0,-0.16993985361310185
Nursing,42065.0,1.0,-0.22128200402216033,-0.15840063354837003,0.9952704778715006,0.5927885112472143,0.5242976579646967,1.0,-0.15840063354837003,1.0,-0.22128200402216033
Environmental Science,427551.0,1.0,-0.17950236032758954,-0.17297918384116864,0.9999288447033612,0.8213369102566725,0.21130476573660875,1.0,-0.17297918384116864,1.0,-0.17950236032758954
Health Professions,226174.0,1.0,-0.2533859957499869,-0.23767303269669923,0.9995660024920167,0.7364581109998419,0.3361437703163136,1.0,-0.23767303269669923,1.0,-0.2533859957499869
