,Documents,Share
1980,1751,0.0013512220418192033
1981,1727,0.0013431044767297623
1982,1850,0.0014013166316589997
1983,1914,0.001397360784098998
1984,2247,0.0015779306005476057
1985,2693,0.0018188965316013855
1986,3113,0.001996006704222968
1987,3514,0.0021374695863746957
1988,3810,0.00221769757589939
1989,3738,0.0020436559463116602
1990,4174,0.0020976866647133825
1991,4192,0.0021039846216391205
1992,4153,0.001998742904775518
1993,4312,0.0019842155469178167
1994,4479,0.001956131811577208
1995,4575,0.0018834360955278788
1996,4581,0.0017398596490428493
1997,4876,0.0017868817374529825
1998,4897,0.001684232393116418
1999,5184,0.0017226282708420906
2000,5550,0.0015199037558601876
2001,5804,0.0015872633872703883
2002,7055,0.0016549568596964871
2003,7270,0.0016078059309682885
2004,7883,0.0016042103857919422
2005,8799,0.0016755353182050844
2006,10009,0.0017477279013435626
2007,10832,0.0017306060524240067
2008,12298,0.0018484299467896267
2009,13389,0.0018570064789262565
2010,15351,0.0019914749667146966
2011,19447,0.002321494313192467
2012,22059,0.0025541720923091386
2013,24644,0.0027104965529817717
2014,27420,0.002852379677325329
2015,28029,0.0028557865975792295
2016,30613,0.0030223065037196595
2017,31465,0.003154645610430693
2018,32313,0.0032330073511821593
2019,34712,0.003374552807590605
2020,40039,0.0036397433171452827
2021,42584,0.004225109097885035
2022,43015,0.004459832066042217
2023,43684,0.004331584992828948
2024,36736,0.003895508829102471
