,Documents,Share
1980,4567,0.003524289585944204
1981,5095,0.003962430404712298
1982,5172,0.003917626821048836
1983,5393,0.003937286681633174
1984,5776,0.004056131352364473
1985,6420,0.0043361736846939825
1986,6343,0.004067031970731219
1987,7356,0.004474452554744526
1988,8467,0.004928410859616833
1989,8998,0.004919426486065361
1990,10503,0.005278390761735662
1991,11087,0.0055646177242635805
1992,11788,0.005673291924270119
1993,12334,0.005675629535177261
1994,13376,0.0058417546576594636
1995,13576,0.005588967963472455
1996,14852,0.00564077614223628
1997,15611,0.005720879984285995
1998,16860,0.00579868453092563
1999,17891,0.005945127776550124
2000,19263,0.005275298387231494
2001,19544,0.005344844183461831
2002,23585,0.005532552450168909
2003,24704,0.005463443977804759
2004,26143,0.005320166448783299
2005,28053,0.005341947071440758
2006,34645,0.0060495587113645445
2007,33925,0.005420126507430246
2008,36345,0.0054627733303032186
2009,39120,0.005425804276316017
2010,42476,0.005510383081634647
2011,44465,0.005308029240299432
2012,49460,0.005726884794669296
2013,51887,0.005706846885431147
2014,54288,0.005647337269242796
2015,57295,0.005837607232091832
2016,59159,0.00584054586135143
2017,61898,0.006205824058300939
2018,64211,0.006424492774634284
2019,71913,0.006991075594960336
2020,78109,0.00710049478655563
2021,81158,0.008052353094264364
2022,78759,0.008165800620467721
2023,81407,0.00807209366155174
2024,62881,0.006667941275119569
