,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,DShareC vs CShareD
CHINA MAINLAND,878110.0,0.6589497459062676,1.0,0.9954827780914738,0.6996047430830039,0.8814229249011858,0.911914172783738,1.0,0.6996047430830039,0.6589497459062676
USA,590332.0,0.12365894974590627,1.0,0.9898362507058159,0.2015810276679842,0.45115753811405984,0.9051383399209486,1.0,0.2015810276679842,0.12365894974590627
UNITED KINGDOM,183810.0,0.06945228684359118,1.0,0.9085262563523433,0.3427442123094297,0.6420101637492942,0.7063805759457933,1.0,0.3427442123094297,0.06945228684359118
ENGLAND,162658.0,0.09542631281761717,1.0,0.8464144551101073,0.4827780914737436,0.6521739130434783,0.7199322416713722,1.0,0.4827780914737436,0.09542631281761717
GERMANY (FED REP GER),151436.0,0.029926595143986448,1.0,0.8791643139469226,0.4116318464144551,0.8091473743647657,0.5279503105590062,1.0,0.4116318464144551,0.029926595143986448
INDIA,144760.0,0.42857142857142855,1.0,0.9536984754376059,0.603613777526821,0.8927159796725014,0.7346132128740824,1.0,0.603613777526821,0.42857142857142855
ITALY,118074.0,-0.06041784302653868,1.0,0.8136645962732919,0.43195934500282324,0.6668548842461886,0.5753811405985318,1.0,0.43195934500282324,-0.06041784302653868
JAPAN,102077.0,0.4376058723884811,1.0,0.9186900056465274,0.6950875211744777,0.8125352907961604,0.7876905702992659,1.0,0.6950875211744777,0.4376058723884811
CANADA,101035.0,0.26256352343308864,1.0,0.8848108413325805,0.6239412761151891,0.8181818181818182,0.7029926595143986,1.0,0.6239412761151891,0.26256352343308864
AUSTRALIA,94420.0,0.3337097684923772,1.0,0.8690005646527386,0.6984754376058724,0.867871259175607,0.6984754376058724,1.0,0.6984754376058724,0.3337097684923772
FRANCE,94156.0,-0.04121964991530209,1.0,0.6792772444946358,0.6578204404291361,0.7142857142857143,0.5798983625070582,1.0,0.6578204404291361,-0.04121964991530209
