,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,DShareC vs CShareD
US,938407.0,0.21572649572649572,1.0,0.9938461538461538,0.28547008547008546,0.8283760683760684,0.6697435897435897,1.0,0.28547008547008546,0.21572649572649572
ID,207003.0,0.7552136752136752,1.0,0.9801709401709402,0.8311111111111111,0.961025641025641,0.8741880341880341,1.0,0.8311111111111111,0.7552136752136752
CN,1022098.0,0.4536752136752137,1.0,0.974017094017094,0.5678632478632478,0.7846153846153846,0.8639316239316239,1.0,0.5678632478632478,0.4536752136752137
GB,272512.0,0.1111111111111111,1.0,0.9623931623931624,0.28136752136752136,0.9268376068376069,0.41264957264957264,1.0,0.28136752136752136,0.1111111111111111
JE,31.0,0.9486832980505138,1.0,0.9486832980505138,1.0,0.9486832980505138,1.0,1.0,1.0,0.9486832980505138
FR,189309.0,0.27931623931623933,1.0,0.9439316239316239,0.5097435897435898,0.9658119658119658,0.4782905982905983,1.0,0.5097435897435898,0.27931623931623933
IN,334115.0,0.20752136752136752,1.0,0.9336752136752137,0.42085470085470084,0.757948717948718,0.7401709401709402,1.0,0.42085470085470084,0.20752136752136752
CA,143776.0,0.20752136752136752,1.0,0.9227350427350427,0.5029059829059829,0.9692307692307692,0.39282051282051283,1.0,0.5029059829059829,0.20752136752136752
AU,123658.0,0.17811965811965813,1.0,0.9186324786324787,0.4823931623931624,0.9596581196581196,0.38940170940170943,1.0,0.4823931623931624,0.17811965811965813
DE,220641.0,0.1158974358974359,1.0,0.9179487179487179,0.4242735042735043,0.9323076923076923,0.4058119658119658,1.0,0.4242735042735043,0.1158974358974359
BR,159641.0,0.25675213675213676,1.0,0.9117948717948718,0.52,0.8912820512820513,0.5958974358974359,1.0,0.52,0.25675213675213676
ES,136638.0,0.021538461538461538,1.0,0.9076923076923077,0.3408547008547009,0.9699145299145299,0.21982905982905984,1.0,0.3408547008547009,0.021538461538461538
TR,117287.0,0.15008547008547007,1.0,0.8967521367521367,0.4947008547008547,0.9275213675213675,0.40854700854700854,1.0,0.4947008547008547,0.15008547008547007
IT,157450.0,0.09675213675213676,1.0,0.8912820512820513,0.40923076923076923,0.9261538461538461,0.41675213675213674,1.0,0.40923076923076923,0.09675213675213676
RU,114045.0,0.305982905982906,1.0,0.8735042735042735,0.6512820512820513,0.9582905982905983,0.5165811965811966,1.0,0.6512820512820513,0.305982905982906
JP,157432.0,0.37367521367521367,1.0,0.8611965811965812,0.7312820512820513,0.8762393162393163,0.7148717948717949,1.0,0.7312820512820513,0.37367521367521367
UA,33086.0,0.3852991452991453,1.0,0.8570940170940171,0.7442735042735042,0.9822222222222222,0.5145299145299145,1.0,0.7442735042735042,0.3852991452991453
PL,65860.0,0.011965811965811967,1.0,0.8406837606837607,0.4345299145299145,0.9842735042735042,0.14598290598290597,1.0,0.4345299145299145,0.011965811965811967
GW,80.0,0.8295124526436652,1.0,0.8295124526436652,1.0,0.9534625892455922,0.8818181818181818,1.0,1.0,0.8295124526436652
SE,52931.0,0.1452991452991453,1.0,0.8160683760683761,0.5883760683760684,0.9842735042735042,0.26837606837606837,1.0,0.5883760683760684,0.1452991452991453
KR,104892.0,0.23213675213675214,1.0,0.8105982905982906,0.6588034188034187,0.8919658119658119,0.5958974358974359,1.0,0.6588034188034187,0.23213675213675214
NL,79955.0,0.1671794871794872,1.0,0.796923076923077,0.6423931623931624,0.9576068376068376,0.40854700854700854,1.0,0.6423931623931624,0.1671794871794872
FI,27291.0,0.23692307692307693,1.0,0.775042735042735,0.7271794871794872,0.9938461538461538,0.30666666666666664,1.0,0.7271794871794872,0.23692307692307693
MX,45962.0,0.08102564102564103,1.0,0.7688888888888888,0.5671794871794872,0.9815384615384616,0.2170940170940171,1.0,0.5671794871794872,0.08102564102564103
