,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,DShareC vs CShareD
CHINA MAINLAND,849314.0,0.7052512704686618,1.0,0.9988706945228685,0.709768492377188,0.9051383399209486,0.9164313946922643,1.0,0.709768492377188,0.7052512704686618
USA,434215.0,-0.0220214568040655,1.0,0.9830604178430266,0.1225296442687747,0.453416149068323,0.8328627893845285,1.0,0.1225296442687747,-0.0220214568040655
UNITED KINGDOM,146758.0,0.08300395256916997,1.0,0.8644833427442123,0.45454545454545453,0.7210615471485037,0.639751552795031,1.0,0.45454545454545453,0.08300395256916997
INDIA,134122.0,0.5200451722190853,1.0,0.9446640316205533,0.7210615471485037,0.911914172783738,0.7775268210050819,1.0,0.7210615471485037,0.5200451722190853
ENGLAND,129441.0,0.13156408808582723,1.0,0.8430265386787126,0.5302089215132694,0.7413890457368718,0.6645962732919255,1.0,0.5302089215132694,0.13156408808582723
GERMANY (FED REP GER),127318.0,0.017504234895539244,1.0,0.8848108413325805,0.37662337662337664,0.823828345567476,0.49294184076792774,1.0,0.37662337662337664,0.017504234895539244
ITALY,97652.0,-0.09203839638622248,1.0,0.7639751552795031,0.4771315640880858,0.7041219649915302,0.5087521174477696,1.0,0.4771315640880858,-0.09203839638622248
JAPAN,88091.0,0.4579333709768492,1.0,0.9424054206662902,0.6860530773574252,0.8893280632411067,0.7402597402597403,1.0,0.6860530773574252,0.4579333709768492
CANADA,83053.0,0.22529644268774704,1.0,0.8294748729531338,0.6804065499717674,0.8373800112930547,0.6758893280632411,1.0,0.6804065499717674,0.22529644268774704
FRANCE,80489.0,-0.06832298136645963,1.0,0.7549407114624506,0.5561829474872954,0.7876905702992659,0.47148503670242803,1.0,0.5561829474872954,-0.06832298136645963
AUSTRALIA,79858.0,0.35629587803500845,1.0,0.8825522303783173,0.7041219649915302,0.8791643139469226,0.7063805759457933,1.0,0.7041219649915302,0.35629587803500845
SOUTH KOREA,78984.0,0.3642010163749294,1.0,0.9582156973461321,0.49181253529079616,0.955957086391869,0.5482778091473743,1.0,0.49181253529079616,0.3642010163749294
SPAIN,77476.0,0.012987012987012988,1.0,0.8215697346132129,0.5143986448334275,0.8385093167701864,0.4116318464144551,1.0,0.5143986448334275,0.012987012987012988
BRAZIL,57239.0,0.189158667419537,1.0,0.8249576510446076,0.6171654432523997,0.9277244494635799,0.45454545454545453,1.0,0.6171654432523997,0.189158667419537
TURKIYE,52881.0,0.6702428006775832,1.0,0.9232072275550537,0.8757763975155279,0.9830604178430266,0.7492941840767928,1.0,0.8757763975155279,0.6702428006775832
SAUDI ARABIA,50624.0,0.6273291925465838,1.0,0.9299830604178431,0.7504234895539243,0.9570863918690006,0.7944664031620553,1.0,0.7504234895539243,0.6273291925465838
NETHERLANDS,49683.0,0.26030491247882553,1.0,0.6566911349520045,0.8046301524562394,0.8260869565217391,0.6725014116318464,1.0,0.8046301524562394,0.26030491247882553
IRAN,44445.0,0.23207227555053642,1.0,0.8881987577639752,0.5313382269904009,0.955957086391869,0.45115753811405984,1.0,0.5313382269904009,0.23207227555053642
POLAND,39395.0,0.4816487859966121,1.0,0.8972332015810277,0.7425183512140033,0.9672501411631846,0.6149068322981367,1.0,0.7425183512140033,0.4816487859966121
SWITZERLAND,39265.0,0.11801242236024845,1.0,0.6058723884810842,0.7684923771880293,0.7854319593450029,0.6352343308865048,1.0,0.7684923771880293,0.11801242236024845
RUSSIA,38991.0,0.7154150197628458,1.0,0.8972332015810277,0.9412761151891587,0.9661208356860531,0.8554488989271598,1.0,0.9412761151891587,0.7154150197628458
SWEDEN,34623.0,0.08020333559021628,1.0,0.5501271046821877,0.8170525127046866,0.8466535214770013,0.4376058723884811,1.0,0.8170525127046866,0.08020333559021628
TAIWAN,31792.0,0.5076228119706381,1.0,0.8362507058159232,0.8881987577639752,0.9164313946922643,0.7820440429136082,1.0,0.8881987577639752,0.5076228119706381
HONG KONG,30242.0,0.6160361377752682,1.0,0.8848108413325805,0.8656126482213439,0.9683794466403162,0.7470355731225297,1.0,0.8656126482213439,0.6160361377752682
BELGIUM,28249.0,-0.0220214568040655,1.0,0.4025974025974026,0.841897233201581,0.849802371541502,0.3675889328063241,1.0,0.841897233201581,-0.0220214568040655
PAKISTAN,27292.0,0.47600225861095424,1.0,0.8802936194240542,0.6860530773574252,0.9661208356860531,0.6408808582721626,1.0,0.6860530773574252,0.47600225861095424
EGYPT,26500.0,0.5426312817617166,1.0,0.8915866741953699,0.7854319593450029,0.9762845849802372,0.6815358554488989,1.0,0.7854319593450029,0.5426312817617166
DENMARK,24883.0,0.20847460954301544,1.0,0.5395481087088883,0.885940146809712,0.8519775371026214,0.5787690570299266,1.0,0.885940146809712,0.20847460954301544
AUSTRIA,22127.0,-0.21287408243929984,1.0,0.3269339356295878,0.7617165443252399,0.9107848673066065,0.11575381140598531,1.0,0.7617165443252399,-0.21287408243929984
PORTUGAL,20981.0,0.04799548277809147,1.0,0.5945793337097685,0.8046301524562394,0.9785431959345002,0.20948616600790515,1.0,0.8046301524562394,0.04799548277809147
SINGAPORE,19872.0,0.7549407114624506,1.0,0.9277244494635799,0.8949745906267645,0.9898362507058159,0.8046301524562394,1.0,0.8949745906267645,0.7549407114624506
MEXICO,19730.0,0.30773574251835123,1.0,0.5527950310559007,0.9299830604178431,0.955957086391869,0.44776962168266515,1.0,0.9299830604178431,0.30773574251835123
NORWAY,19487.0,0.42631281761716544,1.0,0.7120271033314511,0.8588368153585545,0.9503105590062112,0.611518915866742,1.0,0.8588368153585545,0.42631281761716544
SCOTLAND,19479.0,0.13269339356295878,1.0,0.5957086391869001,0.7289666854884246,0.9390175042348955,0.365330321852061,1.0,0.7289666854884246,0.13269339356295878
SOUTH AFRICA,18600.0,0.3020892151326934,1.0,0.5957086391869001,0.8565782044042913,0.937888198757764,0.5324675324675324,1.0,0.8565782044042913,0.3020892151326934
MALAYSIA,17999.0,0.4839073969508752,1.0,0.8249576510446076,0.7560700169395822,0.9683794466403162,0.6307171089779785,1.0,0.7560700169395822,0.4839073969508752
ISRAEL,17498.0,0.37775268210050816,1.0,0.5844155844155844,0.9153020892151327,0.9232072275550537,0.6431394692264257,1.0,0.9153020892151327,0.37775268210050816
FINLAND,17110.0,0.14059853190287974,1.0,0.4805194805194805,0.8814229249011858,0.9096555618294748,0.383399209486166,1.0,0.8814229249011858,0.14059853190287974
CZECH REPUBLIC,16994.0,0.04799548277809147,1.0,0.6194240542066629,0.6984754376058724,0.9774138904573687,0.1880293619424054,1.0,0.6984754376058724,0.04799548277809147
GREECE,15624.0,0.23094297007340486,1.0,0.5482778091473743,0.8915866741953699,0.9254658385093167,0.4647092038396386,1.0,0.8915866741953699,0.23094297007340486
THAILAND,15234.0,0.2852301723454875,1.0,0.7099689636401539,0.7922077922077922,0.9398475381839428,0.5335968379446641,1.0,0.7922077922077922,0.2852301723454875
CHILE,13233.0,0.5087521174477696,1.0,0.6408808582721626,0.96386222473179,0.9661208356860531,0.6691134952004517,1.0,0.96386222473179,0.5087521174477696
IRELAND,12978.0,0.13608130999435347,1.0,0.36645962732919257,0.8994918125352908,0.911914172783738,0.42970073404856013,1.0,0.8994918125352908,0.13608130999435347
ROMANIA,12132.0,0.435347261434218,1.0,0.7955957086391869,0.8080180688876341,0.9808018068887634,0.5448898927159797,1.0,0.8080180688876341,0.435347261434218
NEW ZEALAND,11170.0,0.5076228119706381,1.0,0.6623376623376623,0.9288537549407114,0.9796725014116319,0.6047430830039525,1.0,0.9288537549407114,0.5076228119706381
UNITED ARAB EMIRATES,10867.0,0.4816487859966121,1.0,0.753811405985319,0.8080180688876341,0.9864483342744212,0.5573122529644269,1.0,0.8080180688876341,0.4816487859966121
ARGENTINA,10534.0,0.4105025409373235,1.0,0.5279503105590062,0.9514398644833427,0.9367588932806324,0.6487859966120836,1.0,0.9514398644833427,0.4105025409373235
HUNGARY,10308.0,0.08865047995482778,1.0,0.5347261434217956,0.7323546019198193,0.9525691699604744,0.2365894974590627,1.0,0.7323546019198193,0.08865047995482778
VIETNAM,10090.0,0.5268210050818747,1.0,0.7029926595143986,0.9062676453980801,0.9819311123658949,0.6284584980237155,1.0,0.9062676453980801,0.5268210050818747
INDONESIA,9630.0,0.43195934500282324,1.0,0.7526821005081875,0.841897233201581,0.9830604178430266,0.5448898927159797,1.0,0.841897233201581,0.43195934500282324
COLOMBIA,8440.0,0.18351214003387917,1.0,0.4782608695652174,0.8723884810841332,0.96386222473179,0.33258046301524563,1.0,0.8723884810841332,0.18351214003387917
IRAQ,7412.0,0.6804065499717674,1.0,0.8509316770186336,0.9209486166007905,0.9898362507058159,0.735742518351214,1.0,0.9209486166007905,0.6804065499717674
ETHIOPIA,7411.0,0.5844155844155844,1.0,0.6826651609260305,0.9841897233201581,0.9525691699604744,0.7413890457368718,1.0,0.9841897233201581,0.5844155844155844
BANGLADESH,7160.0,0.2941840767927724,1.0,0.40372670807453415,0.9796725014116319,0.9774138904573687,0.4409937888198758,1.0,0.9796725014116319,0.2941840767927724
NIGERIA,7068.0,0.23665632121338465,1.0,0.45072015352811684,0.9457933370976849,0.9788195815341184,0.3709768492377188,1.0,0.9457933370976849,0.23665632121338465
MOROCCO,6872.0,0.7255787690570299,1.0,0.8068887634105025,0.9672501411631846,0.9909655561829475,0.7888198757763976,1.0,0.9672501411631846,0.7255787690570299
